Name,Rating,Ease of Prep,Type,Prep Time,Photo,Ingredients
Ravioli with Snap Peas,4,Hard,Main Dish,40,,"Noodles,Milk,Cheese"
Cloverleaf Rolls,3,Fairly Easy,Side Dish,30,,Milk
Greek Yogurt and Honey Blueberry Muffins,4,Average,Breakfast,30,,"Eggs,Milk"
Whole Grain Waffles,5,Super Simple,Breakfast,25,,"Eggs,Milk"
Lemon Bars,3,Fairly Easy,Dessert,60,,
Qahaq Cookies,2,Average,Dessert,30,,
Blondies with Nutella,2,Hard,Dessert,90,,
Hot Chocolate,5,Super Simple,Dessert,10,,Milk
Chocolate Mousse,4,Hard,Dessert,30,Image 23 June 2017 10:40 AM.jpg (https://dl.airtable.com/p1aWENpoQdSnDXzNjHvP_Image%2023%20June%202017%2010%3A40%20AM.jpg),Eggs
S'mores Cookie Bars,4,Hard,Dessert,45,,
Orange Chicken,4,Fairly Easy,Main Dish,40,,"Chicken,Rice"
Tostadas,3,Super Simple,Main Dish,20,,"Chicken,Cheese"
Black Bean Stuffed Sweet Potatoes,1,Fairly Easy,Main Dish,20,,"Beans,Cheese"
Asian Shredded Beef,5,Super Simple,Main Dish,30,Image 23 June 2017 11:19 AM.jpg (https://dl.airtable.com/k2Wgo6RTjKfUBiyeUXMJ_Image%2023%20June%202017%2011%3A19%20AM.jpg),"Beef,Noodles"
"Capellini with sausage, spinach, and jalapeno",4,Fairly Easy,Main Dish,40,,"Sausage,Noodles"
Crispy Chicken with Kale,2,Fairly Easy,Main Dish,45,,Chicken
Roast Chicken Grain Bowl,1,Average,Main Dish,60,,Chicken
Chicken thighs with barley and peas,2,Fairly Easy,Main Dish,60,,Chicken
Rice noodles with meatballs and bok choy,4,Hard,Main Dish,45,,"Beef,Noodles"
Paprika Pork with Roasted Potatoes and Dill Cream,3,Fairly Easy,Main Dish,60,,"Pork,Potatoes"
Chicken cutlets with carrot and kale salad,3,Average,Main Dish,30,,Chicken
Gnocchi and sweet potatoes,3,Fairly Easy,Main Dish,20,,
Shepherd's Pie,4,Hard,Main Dish,60,,"Beef,Potatoes"
Garlic Parmesan Chicken,2,Super Simple,Main Dish,45,,"Chicken,Rice"
Turkey Pot Pie,3,Fairly Easy,Main Dish,60,,Turkey
Balsamic Bacon Brussels Sprouts,3,Fairly Easy,Side Dish,40,,Bacon
Lemon Red Potatoes,2,Super Simple,Side Dish,150,,Potatoes
Potato and Corn Chowder,3,Super Simple,Main Dish,20,,"Potatoes,Milk,Cheese"
Thai Chicken,5,Super Simple,Main Dish,30,Image 22 May 2017 06:55 PM.jpg (https://dl.airtable.com/Z63XVsqQauq6CwpajKyU_Image%2022%20May%202017%2006%3A55%20PM.jpg),"Chicken,Noodles,Eggs"
Italian Fagoli Vegetable Soup,4,Fairly Easy,Main Dish,45,Image 30 May 2017 05:01 PM.jpg (https://dl.airtable.com/fFFAvThIQ3mw2rGZgCHQ_Image%2030%20May%202017%2005%3A01%20PM.jpg),"Vegetarian,Beans,Noodles"
Blueberry Pie,5,Fairly Easy,Dessert,120,Image 23 June 2017 10:41 AM.jpg (https://dl.airtable.com/qOvtiooJSb6M79W8NpRX_Image%2023%20June%202017%2010%3A41%20AM.jpg),
Chocolate Pudding,4,Fairly Easy,Dessert,30,,
Browned Butter Beets,5,Hard,Side Dish,120,Image 23 June 2017 10:46 AM.jpg (https://dl.airtable.com/KPkN6yIYTJSoddFk1mYZ_Image%2023%20June%202017%2010%3A46%20AM.jpg),"Beets,Breadcrumbs"
Turkey Soup with Homemade Noodles,4,Average,Main Dish,120,Image 23 June 2017 11:22 AM.jpg (https://dl.airtable.com/Eavm8k3PT6aHMto31leA_Image%2023%20June%202017%2011%3A22%20AM.jpg),"Turkey,Noodles"
Home fries,5,Super Simple,Side Dish,45,Image 23 June 2017 11:27 AM.jpg (https://dl.airtable.com/XENllMA5SviZpU4UPHQY_Image%2023%20June%202017%2011%3A27%20AM.jpg),Potatoes
Chocolate Raspberry Torte,5,Hard,Dessert,60,Image 23 June 2017 11:28 AM.jpg (https://dl.airtable.com/MzknuKyYTUS2b1j6p0eF_Image%2023%20June%202017%2011%3A28%20AM.jpg),"Eggs,Milk"
Golden Latte,5,Super Simple,Drink,20,Image 23 June 2017 11:31 AM.jpg (https://dl.airtable.com/nycMbcA3SNGdSRZrKmRP_Image%2023%20June%202017%2011%3A31%20AM.jpg),Milk
Fig Shake,4,Fairly Easy,Drink,10,Image 25 June 2017 10:12 AM.jpg (https://dl.airtable.com/qRrXQ9R5QiC0xXb36vVQ_Image%2025%20June%202017%2010%3A12%20AM.jpg),Milk
Lentil Soup,3,Average,Main Dish,60,,"Lentils,Vegetarian,Carrots,Onion"
Buckwheat Tabboulah,1,Super Simple,Main Dish,30,,"Buckwheat,Vegetarian,Carrots,Onion"
Lentil Rice Bowls with Egg,4,Fairly Easy,Main Dish,60,IMG_20170828_182603.jpg (https://dl.airtable.com/E1ucx7U7QtefBIVBGnAz_IMG_20170828_182603.jpg),"Rice,Lentils,Onion"
Italian Vegetable Lentil Soup,4,Fairly Easy,Main Dish,60,IMG_20170902_192742.jpg (https://dl.airtable.com/liUlH8GkQcevu863wQ3k_IMG_20170902_192742.jpg),"Lentils,Onion,Vegetarian"
One Pot Chicken & Potatoes,4,Super Simple,Main Dish,90,IMG_20170906_181313.jpg (https://dl.airtable.com/imxl6fVZRG2lv4C2vCHX_IMG_20170906_181313.jpg),"Potatoes,Chicken,Carrots,Onion"
Sweet Korean Lentils,5,Fairly Easy,Main Dish,45,IMG_20170903_192529.jpg (https://dl.airtable.com/BvbfM0QpQVaN3NxGG1iU_IMG_20170903_192529.jpg),"Lentils,Rice,Onion"
Buckwheat Beetroot Salad,3,Average,Main Dish,60,IMG_20170904_194839.jpg (https://dl.airtable.com/0sEm7AOlSoazTBM5bFXz_IMG_20170904_194839.jpg),"Beets,Buckwheat"
New Potato Lentil Salad,4,Fairly Easy,Main Dish,50,IMG_20170905_205050.jpg (https://dl.airtable.com/d0Yq3C0jT5mkbCSmcEuM_IMG_20170905_205050.jpg),"Potatoes,Lentils"
Ham & Potato Soup,4,Average,Main Dish,60,IMG_20170910_191325.jpg (https://dl.airtable.com/5e5BcxvQuqgGIs6vJlFk_IMG_20170910_191325.jpg),"Potatoes,Ham,Onion,Milk"
Lemon Dill Potatoes,4,Super Simple,Main Dish,50,IMG_20170912_202005.jpg (https://dl.airtable.com/J7H4hi5GRV6rrxFGEvOg_IMG_20170912_202005.jpg),Potatoes
BBQ Lentils,3,Fairly Easy,Main Dish,60,IMG_20171001_183430.jpg (https://dl.airtable.com/2qGEqJBqRWuIcR2EmMIU_IMG_20171001_183430.jpg),"Lentils,Rice"
Healthy Buckwheat Soup,3,Super Simple,Main Dish,45,IMG_20170916_181235.jpg (https://dl.airtable.com/bjRWrzjrQs6w3qzaiWzN_IMG_20170916_181235.jpg),"Buckwheat,Carrots,Onion"
Buckwheat Chicken Pilaf,5,Hard,Main Dish,120,IMG_20170920_214256.jpg (https://dl.airtable.com/je9Mx9xSheiqQxZCleNg_IMG_20170920_214256.jpg),"Buckwheat,Carrots,Chicken,Onion"
Vegetable Noodle Soup,4,Super Simple,Main Dish,40,IMG_20170925_215045.jpg (https://dl.airtable.com/JQIiOBR4TpmSmdeH3yhU_IMG_20170925_215045.jpg),"Carrots,Noodles"
Bacon and Honey Potato Salad,3,Fairly Easy,Main Dish,45,IMG_20170926_202224.jpg (https://dl.airtable.com/JZAXR9V6Q4i0cIgTt1KJ_IMG_20170926_202224.jpg),"Potatoes,Bacon"
Pretzel Sticks,4,Average,Baking Basics,60,IMG_20171004_185102.jpg (https://dl.airtable.com/BqCrs9szQ2qO8baJtDZ5_IMG_20171004_185102.jpg),"Eggs,Flour,Yeast"
Golden French Lentil Soup,3,Fairly Easy,Main Dish,60,IMG_20171008_191344.jpg (https://dl.airtable.com/Q4vRvQcISjiBtmS36C9j_IMG_20171008_191344.jpg),Lentils
Lentil Shepherd's Pie,5,Average,Main Dish,90,IMG_20171010_202849.jpg (https://dl.airtable.com/hBYymGVDQGfu2tNzilSM_IMG_20171010_202849.jpg),"Lentils,Carrots,Onion,Peas,Potatoes"
Honey Lime Chicken,3,Fairly Easy,Main Dish,45,IMG_20171011_210405.jpg (https://dl.airtable.com/lkqbgVlXS66xIHtEBaqC_IMG_20171011_210405.jpg),"Chicken,Rice"
Lentil Curry,2,Super Simple,Main Dish,45,Image 05 November 2017 10:19 PM.jpg (https://dl.airtable.com/GROQwZqFQ4yVmkGVifkY_Image%2005%20November%202017%2010%3A19%20PM.jpg),"Lentils,Carrots,Onion"
Dutch Oven Bread,5,Super Simple,Baking Basics,60,Image 05 November 2017 10:21 PM.jpg (https://dl.airtable.com/7M70iG6TQya6cEceynPy_Image%2005%20November%202017%2010%3A21%20PM.jpg),"Flour,Yeast"
Potato Apple Roast,4,Average,Main Dish,45,IMG_20171030_190727.jpg (https://dl.airtable.com/nPnjDb0BRku1puJMbbDV_IMG_20171030_190727.jpg),"Apple,Potatoes,Ham"
Baking Powder Biscuits,4,Super Simple,Baking Basics,30,IMG_20171025_194215.jpg (https://dl.airtable.com/TAg3LU3KTmfFTududA1z_IMG_20171025_194215.jpg),"Flour,Milk,Eggs"
Sugar Cookies,5,Fairly Easy,Baking Basics,25,IMG_20171018_201605 (1).jpg (https://dl.airtable.com/4vnxD8l8Q5Wug5hk8UCX_IMG_20171018_201605%20(1).jpg),"Flour,Eggs"
Potato Curry,4,Fairly Easy,Main Dish,35,IMG_20171017_203922.jpg (https://dl.airtable.com/l7K4dXk5RO6BvLmeevoq_IMG_20171017_203922.jpg),"Potatoes,Vegetarian"
Bucatini all'Amatriciana,4,Hard,Main Dish,45,IMG_20171107_194756.jpg (https://dl.airtable.com/htqJKwQbmGoj2QwpxWcg_IMG_20171107_194756.jpg),"Noodles,Tomatoes,Bacon"
Brioche Chocolate Rolls,4,Fairly Easy,Baking Basics,120,IMG_20171108_194838.jpg (https://dl.airtable.com/POvIUieQC2fl0xYacMgh_IMG_20171108_194838.jpg),"Flour,Eggs,Yeast,Fish"
Naan,5,Fairly Easy,Baking Basics,45,IMG_20171115_202417.jpg (https://dl.airtable.com/cLizrRURuewXiTWTnyys_IMG_20171115_202417.jpg),"Milk,Yogurt,Flour,Yeast"
Lemon Poppy Seed Scones,5,Super Simple,Baking Basics,30,IMG_20171119_085520.jpg (https://dl.airtable.com/1Puc1excSYKxynHKiGfW_IMG_20171119_085520.jpg),"Flour,Butter,Sour Cream"
Balsamic Dijon Root Vegetables,4,Fairly Easy,Main Dish,150,IMG_20171118_193436.jpg (https://dl.airtable.com/027Y0V49Rru33eUhbZHY_IMG_20171118_193436.jpg),"Potatoes,Onion,Carrots,Parsnips"
Best Baked Chicken Legs,5,Super Simple,Main Dish,90,IMG_20171121_204505.jpg (https://dl.airtable.com/2SBNOGv5TqSKJTKEiS4Y_IMG_20171121_204505.jpg),"Chicken,Rice"
Spanish Lentil Soup,,Fairly Easy,Main Dish,60,,"Ham,Lentils"
Chocolate Chip Irish Soda Bread,2,Average,Baking Basics,60,,"Flour,Chocolate Chips"
Malteese Gilatti,2,Average,Baking Basics,120,,"Flour,Butter,Yeast"
Buckwheat Carrot and Onion,4,Fairly Easy,Main Dish,40,,"Buckwheat,Carrots,Onion"
Sweet Potatoes with Yogurt and Chickpeas,5,Fairly Easy,Main Dish,30,,"Chickpeas,Potatoes,Yogurt,Eggs"
Spanish Chickpeas,5,Average,Main Dish,45,,"Chickpeas,Flour,Yogurt,Onion,Eggs"
Lemon Fettuchini,4,Fairly Easy,Main Dish,30,,"Noodles,Coconut milk"
Chickpea Masala,5,Fairly Easy,Main Dish,40,IMG_20180326_175645649.jpg (https://dl.airtable.com/dGGgiQvRTO9Wbz9OGj9S_IMG_20180326_175645649.jpg),"Chickpeas,Flour,Yogurt,Eggs"
Chickpea Broccoli Pesto,3,Super Simple,Side Dish,40,,"Broccoli,Chickpeas"
Thai Veggie Soup,3,Average,Main Dish,30,IMG_20180327_174117059.jpg (https://dl.airtable.com/Ispbhu7sSgGPxh91EYGf_IMG_20180327_174117059.jpg),"Coconut milk,Noodles"
Buttery Herb Chicken,4,Fairly Easy,Main Dish,20,IMG_20180401_180911317_HDR.jpg (https://dl.airtable.com/GYExvowQaymPhacQjUot_IMG_20180401_180911317_HDR.jpg),"Chicken,Rice"
Rosemary Parsnips,5,Super Simple,Main Dish,35,IMG_20180401_180921951_HDR.jpg (https://dl.airtable.com/k1I6BSNpT9KIRG1NgURE_IMG_20180401_180921951_HDR.jpg),Parsnips
Balsamic Potatoes and Asparagus,3,Super Simple,Main Dish,40,,"Potatoes,Asparagus"
Quinoa Brussels Sweet Potato Salad,4,Average,Main Dish,40,,"Quinoa,Brussels Sprouts ,Sweet potato"
Thai Peanut Cabbage Quinoa,4,Fairly Easy,Main Dish,20,IMG_20180430_173418382_HDR.jpg (https://dl.airtable.com/1wUmqwJ6Qk2UbBTx57C5_IMG_20180430_173418382_HDR.jpg),"Quinoa,Cabbage,Peanut"
Lemon Garlic Asparagus with Orzo,3,Average,Main Dish,30,,"Orzo,Asparagus"
Moroccan Sweet Potato Lentil Stew,3,Average,Main Dish,60,IMG_20180416_180744528.jpg (https://dl.airtable.com/Lxd3sASyRkuz5wtkRYfR_IMG_20180416_180744528.jpg),"Sweet potato,Lentils,Spinach,Onion,Carrots"
Chia Crusted Salmon,4,Fairly Easy,Main Dish,20,IMG_20180406_181053651.jpg (https://dl.airtable.com/N8ZoDfnOTrWDiHApmq9Q_IMG_20180406_181053651.jpg),"Salmon,Chia"
Pinto Beans and Tomatillo Cilantro Lime Rice,5,Hard,Main Dish,60,IMG_20180418_174202925.jpg (https://dl.airtable.com/WN8zJfvxRxqgmULbID0m_IMG_20180418_174202925.jpg),"Beans,Rice,Onion,Tomatillo,Lime,Garlic"
Thai Squash Soup,3,Average,Main Dish,60,IMG_20180424_190711006_HDR.jpg (https://dl.airtable.com/L6IKHNYoTxNx0F6viWSM_IMG_20180424_190711006_HDR.jpg),"Squash,Coconut milk,Peanut,Onion,Garlic,Carrots,Cilantro"
Roasted Carrot & Peanut Sauce,5,Average,Main Dish,75,IMG_20180426_174238611_HDR.jpg (https://dl.airtable.com/IPMn4yZhTmOK0Ku5NXUj_IMG_20180426_174238611_HDR.jpg),"Carrots,Peanut,Cilantro"
Majoram White Wine Chicken,4,Average,Main Dish,120,IMG_20180609_195012555_HDR.jpg (https://dl.airtable.com/2ZnjAe1ZSa6NFJsiqi2I_IMG_20180609_195012555_HDR.jpg),"Chicken,Wine"
Marjoram Carrots,5,Fairly Easy,Side Dish,30,IMG_20180609_195018909_HDR.jpg (https://dl.airtable.com/82XXfnHVTrm0STEkmhv2_IMG_20180609_195018909_HDR.jpg),"Carrots,Garlic"
Soy Mustard Salmon,4,Fairly Easy,Main Dish,20,IMG_20180616_181210927_HDR.jpg (https://dl.airtable.com/h3gpuKEWTjqEPMc6WspQ_IMG_20180616_181210927_HDR.jpg),"Salmon,Soy Sauce,Dijon Mustard,Garlic,Ginger"
Chive Butter Radishes,,,,,,
Mango Chutney,3,Average,Side Dish,30,IMG_20180617_185026265_HDR.jpg (https://dl.airtable.com/a3kwI7QQa17lWswLMWQH_IMG_20180617_185026265_HDR.jpg),"Mango,Cheese,Apple,Raisins,Bell Pepper,Jalopeno Pepper"
Vegetarian Chili,,,Main Dish,,,"Vegetarian,Tomatoes"
Sweet Potato Breakfast Burritos,4,,Main Dish,,,Sweet potato
Roasted Sweet Potato Lentil Salad,5,Fairly Easy,Salad,45,Image 07 July 2018 02:45 PM.jpg (https://dl.airtable.com/5KPvQeAXSRm27NUIKalB_Image%2007%20July%202018%2002%3A45%20PM.jpg),"Lentils,Sweet potato,Spinach,celery"
Cornbread,3,Fairly Easy,Side Dish,40,Image 15 July 2018 05:04 PM.jpg (https://dl.airtable.com/D5frhumORFmlVJhrRAiz_Image%2015%20July%202018%2005%3A04%20PM.jpg),"Butter,Milk,Flour,Corn Meal,Baking Powder"
Brussel Honey Lentil Quinoa,3,Fairly Easy,Main Dish,,Image 17 July 2018 05:44 PM.jpg (https://dl.airtable.com/Htecx3pBQnCGvOzxf4na_Image%2017%20July%202018%2005%3A44%20PM.jpg),"Brussels Sprouts ,Quinoa,Lentils,Onion"
Lentil Sweet Potato Curry,4,Average,Main Dish,60,Image 30 July 2018 07:44 PM.jpg (https://dl.airtable.com/YOJBMNefQv29UwtbuE9Y_Image%2030%20July%202018%2007%3A44%20PM.jpg),"Sweet potato,Apple,Lentils,Onion,Garlic,Tomatoes,Rice"
Gnocci and white beans,4,Average,Main Dish,30,,"Beans,Spinach,Tomatoes,gnocchi,Cheese"
Pad Thai,3,Fairly Easy,Main Dish,30,,"Vegetarian,Noodles"
Kung Pao Chicken,2,Fairly Easy,Main Dish,,IMG_20180825_175504336_HDR.jpg (https://dl.airtable.com/M2GZNJxvTYOV5VX3EheB_IMG_20180825_175504336_HDR.jpg),"Chicken,Peanut,Water chestnuts"
Mediterranean Tuna Steaks,3,Fairly Easy,Main Dish,,IMG_20180914_181912580_HDR.jpg (https://dl.airtable.com/2v9XAw2aQOa8wlc7YUkZ_IMG_20180914_181912580_HDR.jpg),"Tuna,Capers"
Spicy Black Bean Nachos,2,,Main Dish,,,"Beans,Adobo Chile"
Tomato Basil Soup,4,Average,Main Dish,45,IMG_20180916_182754746.jpg (https://dl.airtable.com/pUNgiikTgic2Feb6sFJT_IMG_20180916_182754746.jpg),"Tomatoes,Basil"
Chewy Chocolate Chip COokies,5,Fairly Easy,Dessert,30,IMG_20180804_143434172_HDR.jpg (https://dl.airtable.com/vYlUBdkT16vKeQXngAv9_IMG_20180804_143434172_HDR.jpg),"Butter,Chocolate Chips,Flour"
Quinoa Peanut Kale Curry,4,Average,Main Dish,45,IMG_20180823_204308156_HDR.jpg (https://dl.airtable.com/LotaAJcfThuaSjc7ZVaL_IMG_20180823_204308156_HDR.jpg),"Quinoa,Kale,Peanut,Cilantro,Onion,Coconut milk"
Sweet Potato Lentil Curry with Pickled Onion,4,Average,Main Dish,60,"IMG_20180813_172915204_HDR.jpg (https://dl.airtable.com/76ljOa9gTZy6dRcOWWZn_IMG_20180813_172915204_HDR.jpg),IMG_20180813_172921095_HDR.jpg (https://dl.airtable.com/ZHKfkaTbSEmIc5eOqNmc_IMG_20180813_172921095_HDR.jpg)","Sweet potato,Red onion,Lentils,Ginger,Coconut milk,Cilantro"
Sardine Mediterranean Pasta,3,Fairly Easy,Main Dish,30,IMG_20180814_172611816_HDR.jpg (https://dl.airtable.com/Cv4UX7J3QaJYozusHOHz_IMG_20180814_172611816_HDR.jpg),"Sardine,Capers,Shallots,Lemon,Parsley"
Prosciutto apple flatbread pizza,3,Fairly Easy,Main Dish,45,,"Apple,Prosciutto,Cheese"
Dill Cucumber Salmon,4,Average,Main Dish,30,Image 23 September 2018 09:05 AM.jpg (https://dl.airtable.com/XfMt4e9hQE2BXDmESicD_Image%2023%20September%202018%2009%3A05%20AM.jpg),"Fish,Yogurt,Cucumber,Dill,Broccoli,Red onion"
Vegetable Couscous,5,,Main Dish,,,"Couscous,Green Onion,Carrots"
Talapia Tacos,4,Fairly Easy,Main Dish,30,,Tilapia
Roasted Mackerel,,,,,,
Lentil Salsa Soup,4,,,,,
Pesto Tomato Penne,3,Super Simple,Main Dish,20,,Pesto
Black Bean Soup,4,Fairly Easy,Main Dish,30,,
Balsamic Pork Chops,,,,,,
